Time	U1	Uc1	I2	U2
0.049800	9.800000	8.345201	0.001514	-0.342515
0.049900	9.900000	8.445786	0.001531	-0.336659
0.050000	10.000000	8.546369	0.001547	-0.330739
0.050100	9.900000	8.640413	0.001563	-0.324757
0.050200	9.800000	8.721941	0.001577	-0.318718
0.050300	9.700000	8.791759	0.001589	-0.312629
0.050400	9.600000	8.850621	0.001600	-0.306496
0.050500	9.500000	8.899232	0.001609	-0.300326
0.050600	9.400000	8.938252	0.001617	-0.294122
0.050700	9.300000	8.968298	0.001623	-0.287891
0.050800	9.200000	8.989948	0.001628	-0.281638
0.050900	9.100000	9.003742	0.001633	-0.275366
0.051000	9.000000	9.010185	0.001636	-0.269081
0.051100	8.900000	9.009751	0.001638	-0.262786
0.051200	8.800000	9.002883	0.001639	-0.256484
0.051300	8.700000	8.989994	0.001639	-0.250180
0.051400	8.600000	8.971472	0.001638	-0.243877
0.051500	8.500000	8.947679	0.001637	-0.237578
0.051600	8.400000	8.918955	0.001635	-0.231286
0.051700	8.300000	8.885617	0.001632	-0.225003
0.051800	8.200000	8.847962	0.001629	-0.218732
0.051900	8.100000	8.806267	0.001624	-0.212476
